tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok snd_full
cal-1 W1-P0-r150000-p64 P0 W1 150000 64 1 1 150000 148078 0.997 170.5 223.5 262.5 284.5 - - - 0 1015 630 449.8 207.9 5.06 0.00 0.00 1 1 5
cal-1 W1-P0-r250000-p64 P0 W1 250000 64 1 1 250000 246816 0.997 147.5 228.5 262.5 271.5 - - - 0 990 144 452.2 208.8 5.60 0.00 0.00 1 1 5
cal-1 W1-P0-r350000-p64 P0 W1 350000 64 1 1 350000 345473 0.997 220.5 342.5 377.5 391.5 - - - 198 1271 419 446.3 206.0 11.90 0.00 0.00 1 1 5
cal-1 W1-P0-r450000-p64 P0 W1 450000 64 1 1 450000 444208 0.998 264.5 370.5 416.5 597.5 - - - 714 1060 517 440.8 203.4 14.66 0.00 0.00 1 1 5
cal-1 W1-P0-r600000-p64 P0 W1 600000 64 1 1 600000 340128 0.581 970.5 1290.5 1541.5 1954.5 - - - 6506214 2815 10 436.8 201.6 19.35 0.00 0.00 1 1 5
cal-1 W1-P0-r800000-p64 P0 W1 800000 64 1 1 800000 61444 0.090 7842.5 9434.5 10660.5 13817.5 - - - 18872048 8158 5809 459.5 213.0 19.33 0.00 0.00 1 1 5
cal-1 W1-P2-r450000-p64 P2 W1 450000 64 1 1 450000 444135 0.998 254.5 342.5 401.5 429.5 - - - 83 983 877 441.7 203.8 17.54 0.00 8.96 1 1 5
cal-1 W1-P3-r450000-p64 P3 W1 450000 64 1 1 450000 444268 0.997 15.5 29.5 33.5 42.5 - - - 2 1456 1383 609.7 281.3 11.84 0.00 14.13 1 1 5
cal-1 W1-P4-r450000-p64 P4 W1 450000 64 1 1 450000 444286 0.998 12.5 23.5 24.5 29.5 - - - 0 1133 1138 535.8 247.2 9.24 0.00 11.63 1 1 5
cal-1 W2-P0-r100000-p64 P0 W2 100000 64 1 1 100000 99748 0.997 752.5 1008.5 1135.5 1801.5 223 2593454 6546 0 4026 770 773.9 357.6 9.50 0.00 0.00 1 1 5
cal-1 W2-P0-r200000-p64 P0 W2 200000 64 1 0 160000 142969 1.119 2246.5 2426.5 2558.5 2670.5 215 3717193 442807 516835 5516 3 745.8 344.3 19.33 0.00 0.00 0 1 4
cal-1 W2-P0-r30000-p64 P0 W2 30000 64 1 1 30000 29927 0.998 137.5 1874.5 2292.5 2402.5 18984 778098 1902 0 6024 0 1211.6 561.4 1.38 0.00 0.00 1 1 5
cal-1 W2-P0-r400000-p64 P0 W2 400000 64 1 0 320000 100887 0.396 3349.5 3809.5 4098.5 4176.5 25 2623067 5696933 7064425 7996 6 755.4 348.9 19.33 0.00 0.00 0 1 4
