tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok
fig1-3 W1-P0-r1050000-p64 P0 W1 1050000 64 1 0 1050000 2066 0.005 173.5 658116.5 928931.5 1048575.5 - - - 59906773 86011 252258 491.3 234.7 60.04 0.00 0.00 0 0
fig1-3 W1-P0-r1050000-p64 P0 W1 1050000 64 2 0 1050000 2138 0.005 173.5 669907.5 1014373.5 1048575.5 - - - 60144445 82205 250487 493.9 235.6 60.04 0.00 0.00 0 0
fig1-3 W1-P0-r130000-p64 P0 W1 130000 64 1 1 130000 129382 0.999 97.5 154.5 176.5 192.5 - - - 0 1604 0 469.3 216.6 9.42 0.00 0.00 1 1
fig1-3 W1-P0-r130000-p64 P0 W1 130000 64 2 1 130000 129398 0.999 144.5 195.5 241.5 270.5 - - - 0 1078 286 455.7 210.3 10.71 0.00 0.00 1 1
fig1-3 W1-P0-r130000-p64 P0 W1 130000 64 3 1 130000 129384 0.999 128.5 172.5 193.5 208.5 - - - 0 951 61 459.1 211.9 7.85 0.00 0.00 1 1
fig1-3 W1-P0-r1300000-p64 P0 W1 1300000 64 2 0 1300000 2741 0.002 693.5 782691.5 1048575.5 1048575.5 - - - 24069970 108572 0 550.2 271.1 29.95 0.00 0.00 0 0
fig1-3 W1-P0-r1300000-p64 P0 W1 1300000 64 3 0 1300000 692 0.001 781290.5 1048575.5 1048575.5 1048575.5 - - - 23954568 325606 0 782.0 430.2 30.47 0.00 0.00 0 0
fig1-3 W1-P0-r390000-p64 P0 W1 390000 64 1 1 390000 388164 0.999 344.5 399.5 429.5 438.5 - - - 774 1033 697 440.2 203.0 41.50 0.00 0.00 1 1
fig1-3 W1-P0-r390000-p64 P0 W1 390000 64 2 1 390000 388157 0.999 240.5 328.5 381.5 600.5 - - - 2595 1239 413 439.4 202.6 39.03 0.00 0.00 1 1
fig1-3 W1-P0-r390000-p64 P0 W1 390000 64 3 1 390000 388130 0.999 199.5 267.5 388.5 430.5 - - - 702 1126 510 443.6 204.6 38.45 0.00 0.00 1 1
fig1-3 W1-P0-r525000-p64 P0 W1 525000 64 1 1 525000 452133 0.865 676.5 841.5 909.5 991.5 - - - 4985951 2181 3 435.4 200.8 60.00 0.00 0.00 1 1
fig1-3 W1-P0-r525000-p64 P0 W1 525000 64 2 1 525000 446248 0.854 740.5 856.5 971.5 1190.5 - - - 5395129 2209 5 436.1 201.1 60.03 0.00 0.00 1 1
fig1-3 W1-P0-r525000-p64 P0 W1 525000 64 3 1 525000 451402 0.864 740.5 837.5 962.5 1028.5 - - - 5031565 2188 2 435.4 200.8 60.03 0.00 0.00 1 1
fig1-3 W1-P0-r790000-p64 P0 W1 790000 64 1 1 790000 70922 0.094 5998.5 7184.5 8348.5 9593.5 - - - 50742092 8090 5447 450.8 208.2 60.04 0.00 0.00 1 1
fig1-3 W1-P0-r790000-p64 P0 W1 790000 64 2 1 790000 69066 0.092 6153.5 7474.5 8342.5 9541.5 - - - 50857621 9077 4868 460.1 212.5 60.05 0.00 0.00 1 1
fig1-3 W1-P0-r790000-p64 P0 W1 790000 64 3 1 790000 72964 0.097 5939.5 7082.5 8299.5 10246.5 - - - 50581822 7303 5801 451.2 208.4 60.03 0.00 0.00 1 1
fig1-3 W1-P0X-r1050000-p64 P0X W1 1050000 64 1 0 1050000 267951 0.255 18.5 287.5 544.5 601.5 - - - 0 2081 1810 758.1 349.6 30.55 0.00 0.00 0 0
fig1-3 W1-P0X-r1050000-p64 P0X W1 1050000 64 2 0 1050000 282842 0.268 18.5 301.5 570.5 859.5 - - - 511 1828 1714 670.4 309.2 30.55 0.00 0.00 0 0
