tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok
fig1-3b W1-P0X-r1050000-p64 P0X W1 1050000 64 1 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 70000000 -1.0 -1.0 0.07 0.00 0.00 0 0
fig1-3b W1-P0X-r1050000-p64 P0X W1 1050000 64 2 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 810000000 -1.0 -1.0 0.81 0.00 0.00 0 0
fig1-3b W1-P0X-r1050000-p64 P0X W1 1050000 64 3 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 370000000 -1.0 -1.0 0.37 0.00 0.00 0 0
fig1-3b W1-P0X-r130000-p64 P0X W1 130000 64 1 0 130000 129384 1.005 12.5 22.5 25.5 44.5 - - - 1 1168 56 570.7 263.3 0.46 0.00 0.00 1 1
fig1-3b W1-P0X-r130000-p64 P0X W1 130000 64 2 1 130000 129385 0.999 12.5 22.5 26.5 38.5 - - - 1 1149 4 557.2 257.1 0.03 0.00 0.00 1 1
fig1-3b W1-P0X-r130000-p64 P0X W1 130000 64 3 1 130000 129391 0.999 12.5 22.5 25.5 39.5 - - - 1 1175 10 571.6 263.7 0.08 0.00 0.00 1 1
fig1-3b W1-P0X-r1300000-p64 P0X W1 1300000 64 1 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 8140000000 -1.0 -1.0 8.14 0.00 0.00 0 1
fig1-3b W1-P0X-r1300000-p64 P0X W1 1300000 64 2 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 1020000000 -1.0 -1.0 1.02 0.00 0.00 0 0
fig1-3b W1-P0X-r1300000-p64 P0X W1 1300000 64 3 0 0 0 0.000 -1 -1 -1 -1 - - - 0 -1 3060000000 -1.0 -1.0 3.06 0.00 0.00 0 0
fig1-3b W1-P0X-r390000-p64 P0X W1 390000 64 1 1 390000 388177 0.999 12.5 22.5 25.5 34.5 - - - 1 1118 7 532.6 245.6 0.16 0.00 0.00 1 1
