tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok snd_full
fig4 W1-P0-r1050000-p64 P0 W1 1050000 64 1 0 1050000 2149 0.005 304.5 632681.5 815398.5 1013266.5 - - - 59847618 88828 232610 491.0 235.6 60.04 0.00 0.00 0 0 5
fig4 W1-P0-r1050000-p64 P0 W1 1050000 64 2 0 1050000 2070 0.005 300.5 659692.5 827606.5 1048575.5 - - - 59675681 87181 248512 496.6 238.4 60.04 0.00 0.00 0 0 5
fig4 W1-P0-r1050000-p64 P0 W1 1050000 64 3 0 1050000 2085 0.005 177.5 647464.5 779378.5 877660.5 - - - 59798847 88640 243711 497.0 238.3 60.03 0.00 0.00 0 0 5
fig4 W1-P0-r130000-p64 P0 W1 130000 64 1 1 130000 129373 0.999 112.5 159.5 180.5 193.5 - - - 1 1259 0 471.8 217.7 9.52 0.00 0.00 1 1 5
fig4 W1-P0-r130000-p64 P0 W1 130000 64 2 1 130000 129371 0.999 104.5 163.5 193.5 201.5 - - - 1 1539 0 471.5 217.6 9.80 0.00 0.00 1 1 5
fig4 W1-P0-r130000-p64 P0 W1 130000 64 3 1 130000 129376 0.999 105.5 163.5 193.5 202.5 - - - 1 1546 0 472.6 218.1 10.71 0.00 0.00 1 1 5
fig4 W1-P0-r1300000-p64 P0 W1 1300000 64 1 0 1300000 1350 0.003 450484.5 679397.5 798609.5 926080.5 - - - 60065847 114007 374169 509.9 247.2 60.04 0.00 0.00 0 0 5
fig4 W1-P0-r1300000-p64 P0 W1 1300000 64 2 0 1300000 1328 0.003 473044.5 640682.5 746886.5 807363.5 - - - 59779992 119405 370221 508.8 246.3 60.03 0.00 0.00 0 0 5
fig4 W1-P0-r1300000-p64 P0 W1 1300000 64 3 0 1300000 1210 0.003 906.5 815697.5 1048575.5 1048575.5 - - - 60080248 97168 482296 502.2 245.2 60.06 0.00 0.00 0 0 5
fig4 W1-P0-r390000-p64 P0 W1 390000 64 1 1 390000 388164 0.999 293.5 383.5 416.5 432.5 - - - 1113 1228 456 441.7 203.7 40.59 0.00 0.00 1 1 5
fig4 W1-P0-r390000-p64 P0 W1 390000 64 2 1 390000 388148 0.999 174.5 225.5 260.5 282.5 - - - 370 878 535 447.7 206.5 33.43 0.00 0.00 1 1 5
fig4 W1-P0-r390000-p64 P0 W1 390000 64 3 1 390000 388165 0.999 263.5 323.5 352.5 363.5 - - - 760 1062 436 449.3 207.2 35.85 0.00 0.00 1 1 5
fig4 W1-P0-r525000-p64 P0 W1 525000 64 1 1 525000 453752 0.869 728.5 834.5 915.5 1007.5 - - - 4848663 2170 4 437.4 201.7 60.03 0.00 0.00 1 1 5
fig4 W1-P0-r525000-p64 P0 W1 525000 64 2 1 525000 455552 0.871 678.5 833.5 910.5 1081.5 - - - 4763857 2165 5 437.4 201.7 60.04 0.00 0.00 1 1 5
fig4 W1-P0-r525000-p64 P0 W1 525000 64 3 1 525000 446182 0.854 736.5 861.5 935.5 1025.5 - - - 5389366 2209 5 438.0 202.0 60.06 0.00 0.00 1 1 5
fig4 W1-P0-r790000-p64 P0 W1 790000 64 1 1 790000 64749 0.087 6725.5 7970.5 9217.5 11634.5 - - - 51163929 9276 5417 444.6 205.4 60.05 0.00 0.00 1 1 5
fig4 W1-P0-r790000-p64 P0 W1 790000 64 2 1 790000 64785 0.087 6613.5 8001.5 9549.5 12454.5 - - - 51171093 8886 5815 445.8 206.0 60.03 0.00 0.00 1 1 5
fig4 W1-P0-r790000-p64 P0 W1 790000 64 3 1 790000 64225 0.086 6749.5 7997.5 9350.5 11198.5 - - - 51191744 9300 5492 449.6 207.7 60.04 0.00 0.00 1 1 5
fig4 W1-P3-r130000-p64 P3 W1 130000 64 1 1 130000 129391 0.999 15.5 28.5 33.5 43.5 - - - 91 1438 1526 592.8 273.5 13.34 0.00 12.44 1 1 5
fig4 W1-P3-r130000-p64 P3 W1 130000 64 2 1 130000 129392 0.999 15.5 27.5 30.5 41.5 - - - 1 1446 1560 596.7 275.3 11.49 0.00 12.72 1 1 5
fig4 W1-P3-r130000-p64 P3 W1 130000 64 3 1 130000 129404 0.999 15.5 27.5 30.5 41.5 - - - 1 1429 1548 596.2 275.1 11.01 0.00 12.62 1 1 5
fig4 W1-P3-r390000-p64 P3 W1 390000 64 1 1 390000 388137 0.999 15.5 27.5 29.5 36.5 - - - 1 1405 1521 578.6 266.8 32.02 0.00 37.20 1 1 5
