cell,rep,mode,keep,t_flood,t_wedge,t_reduce,recovered,t_recover_s,rx7_rate_reduced,oob_rate_reduced,probe,verdict_online
B1-1,1,B,10,,,235519.58,1,2.2,,,PROBE-OK,RECOVERED
B1-10,10,B,10,,,243208.15,1,2.2,,,PROBE-OK,RECOVERED
B1-2,2,B,10,,,236812.38,1,2.2,,,PROBE-OK,RECOVERED
B1-3,3,B,10,,,237430.73,1,2.2,,,PROBE-OK,RECOVERED
B1-4,4,B,10,,,237900.15,1,2.2,,,PROBE-OK,RECOVERED
B1-5,5,B,10,,,238475.45,1,1.8,,,PROBE-OK,RECOVERED
B1-6,6,B,10,,,240934.96,1,1.1,,,PROBE-OK,RECOVERED
B1-7,7,B,10,,,241457.21,1,2.2,,,PROBE-OK,RECOVERED
B1-8,8,B,10,,,242069.38,1,2.2,,,PROBE-OK,RECOVERED
B1-9,9,B,10,,,242647.18,1,1.8,,,PROBE-OK,RECOVERED
B2-1,1,B,10 11,,,234720.94,1,1.8,,,PROBE-OK,RECOVERED
B2-10,10,B,10 11,,,243046.33,1,1.8,,,PROBE-OK,RECOVERED
B2-2,2,B,10 11,,,236650.56,1,1.4,,,PROBE-OK,RECOVERED
B2-3,3,B,10 11,,,237112.18,1,1.8,,,PROBE-OK,RECOVERED
B2-4,4,B,10 11,,,237601.06,1,1.6,,,PROBE-OK,RECOVERED
B2-5,5,B,10 11,,,238199.88,1,1.8,,,PROBE-OK,RECOVERED
B2-6,6,B,10 11,,,240707.85,1,1.8,,,PROBE-OK,RECOVERED
B2-7,7,B,10 11,,,241138.65,1,0.8,,,PROBE-OK,RECOVERED
B2-8,8,B,10 11,,,241735.42,1,1.6,,,PROBE-OK,RECOVERED
B2-9,9,B,10 11,,,242351.60,1,1.6,,,PROBE-OK,RECOVERED
M1-1,1,M,10,,236559.48,236579.03,1,1.5,,,PROBE-OK,RECOVERED
M1-10,10,M,10,,243288.33,243307.25,0,,,,PROBE-OK,NOT-RECOVERED-120s
M1-2,2,M,10,,236892.61,236903.82,0,,,,PROBE-DEAD,NOT-RECOVERED-120s
M1-3,3,M,10,,237510.86,237529.78,1,1.1,,,PROBE-OK,RECOVERED
M1-4,4,M,10,,237980.33,237991.54,0,,,,PROBE-OK,NOT-RECOVERED-120s
M1-5,5,M,10,,,238680.35,1,10.5,,,PROBE-OK,RECOVERED
M1-6,6,M,10,,241015.17,241026.38,1,42.1,,,PROBE-OK,RECOVERED
M1-7,7,M,10,,,241662.11,1,4.5,,,PROBE-OK,RECOVERED
M1-8,8,M,10,,,242274.27,1,8.5,,,PROBE-OK,RECOVERED
M1-9,9,M,10,,242825.97,242838.01,0,,,,PROBE-DEAD,NOT-RECOVERED-120s
M2-1,1,M,10 11,,234837.80,234848.71,0,,,,PROBE-DEAD,NOT-RECOVERED-120s
M2-10,10,M,10 11,,243126.55,243137.45,1,3.0,,,PROBE-OK,RECOVERED
M2-2,2,M,10 11,,236730.75,236741.66,1,3.0,,,PROBE-OK,RECOVERED
M2-3,3,M,10 11,,237192.39,237203.29,0,,,,PROBE-DEAD,NOT-RECOVERED-120s
M2-4,4,M,10 11,,237681.25,237692.16,0,,,,PROBE-OK,NOT-RECOVERED-120s
M2-5,5,M,10 11,,,238404.30,1,2.9,,,PROBE-OK,RECOVERED
M2-6,6,M,10 11,,240788.07,240798.99,1,66.7,,,PROBE-OK,RECOVERED
M2-7,7,M,10 11,,241218.84,241229.74,0,,,,PROBE-DEAD,NOT-RECOVERED-120s
M2-8,8,M,10 11,,241849.82,241861.35,0,,,,PROBE-OK,NOT-RECOVERED-120s
M2-9,9,M,10 11,,,242555.98,1,22.2,,,PROBE-OK,RECOVERED
