src,arm,target,rep,achieved,miss,skip,opq,n,slo_frac,p50,p99,p999,rc8,rc9
main,BP,190000,1,190117.30000000002,0.0,0.0,23.0,22245254,0.9983013455364457,69.7685233,858.7837219999999,1159.8994729920214,206191190334,1956434890
main,BP,190000,2,190047.3,0.0,0.0,23.6,22238864,0.9975673217840624,69.75325640000001,872.3735808000001,1265.1920320000002,206261099641,2105357860
main,BP,190000,3,189934.7,0.0,0.0,23.4,22225722,0.9975052329008705,69.78062650000001,879.3830869999999,1238.5368348,206164335684,2349747489
main,BP,285000,1,284952.7,0.0,0.0,34.0,33335662,0.8061592417153738,74.3344923,1523.3993532,1819.220161264529,206546442603,1805648877
main,BP,285000,2,284970.7,0.0,0.0,34.0,33344144,0.8048171816916337,74.9263529,1519.2508698000001,1824.66998101085,206601012651,1766270683
main,BP,285000,3,284985.5,0.0,0.0,34.0,33346052,0.810172940412856,77.10813820000001,1524.591446,1806.020737,206542205241,1883702071
main,BP,380000,1,341349.3,0.0,0.0,34.0,39935164,0.8638080464625111,83.4167755,1373.3386990000001,1731.2049866000002,207021849007,1890396508
main,BP,380000,2,343033.2,0.0,0.0,34.0,40131470,0.8681823516556957,83.5124238,1362.800598,1702.0225526000002,207040159662,1617252216
main,BP,380000,3,341782.1,0.0,0.0,34.0,39987404,0.8660909070266227,85.34799579999999,1371.6220858000001,1734.2289446890616,206924567564,1720014178
main,BP,47500,1,47505.7,0.0,0.0,8.1,5559060,0.9894735800656945,40.9642678,1063.4422304,1405.1914216,163467505951,1156900236
main,BP,47500,2,47488.3,0.0,0.0,8.1,5559070,0.9891071708037495,40.546489699999995,1072.996616531994,1411.4384173536037,163008859591,1126728377
main,BP,47500,3,47493.0,0.0,0.0,9.0,5559786,0.9890592911309896,40.817260999999995,1073.217392,1416.4392945860004,162476158471,1137308824
main,BP,95000,1,95002.1,0.0,0.0,9.4,11115734,0.9997091510106305,49.57464230000001,605.9646607999999,953.1974791999999,198908874744,215351055
main,BP,95000,2,95030.1,0.0,0.0,9.4,11121456,0.9997009384382765,49.6662419,603.8665774,956.6307069999999,199028073074,207338637
main,BP,95000,3,95105.6,0.0,0.0,9.4,11126150,0.9996829990607713,49.7970033,605.7739258,954.4263364098088,198881947946,218659712
main,P0,190000,1,190023.6,0.0,0.0,22.9,22234762,0.9982208939317633,69.999575,847.4349974,1156.9341658707585,197530285710,1954968293
main,P0,190000,2,189960.19999999998,0.0,0.0,22.8,22227924,0.9980074162571367,69.99412439999999,837.755203,1227.8675558330808,197578736707,1894916346
main,P0,190000,3,190043.69999999998,0.0,0.0,22.9,22234684,0.9980461156992382,70.4074641,852.4417878,1173.5916136,197571430060,1967826221
main,P0,285000,1,285069.60000000003,0.0,0.0,34.0,33353108,0.82836100311851,76.7290197,1471.0426329999998,1741.9815062000002,203954566277,1889942135
main,P0,285000,2,285024.3,0.0,0.0,34.0,33343326,0.8294471883218849,76.29763419999999,1480.4840088,1763.3914949999998,204220386322,1982719774
main,P0,285000,3,284971.19999999995,0.0,0.0,34.0,33344034,0.8290999223429295,78.88372999999999,1474.3804934,1742.4583434,204477603006,1882784595
main,P0,380000,1,317778.8,0.0,0.0,34.0,37185208,0.7843405366994317,82.01002820000001,1383.447647,1651.1917114,191220519005,2020900340
main,P0,380000,2,318705.9,0.0,0.0,34.0,37285542,0.7946917869666478,79.1013887,1386.6424562,1649.7612000000001,194425618273,1914892675
main,P0,380000,3,325133.8,0.0,0.0,34.0,38042872,0.8184193874742159,81.8908595,1372.6711274,1654.8108577564544,195345918407,2093664542
main,P0,47500,1,47493.9,0.0,0.0,11.0,5557568,0.9561948679710262,69.5499399,1264.8105621999998,1449.5384694900067,68559217198,1443052318
main,P0,47500,2,47483.8,0.0,0.0,11.0,5556570,0.9547175685719788,69.5142493,1268.5775758000002,1452.3506162,68207756650,1259365633
main,P0,47500,3,47488.399999999994,0.0,0.0,10.8,5556230,0.9562284138705561,69.49226480000002,1266.5748598,1447.2224710380035,68838035547,1249446262
main,P0,95000,1,95006.0,0.0,0.0,14.0,11116444,0.9989561410105605,69.96151549999999,923.681259,1057.0049285999999,110515270691,1028281686
main,P0,95000,2,94946.20000000001,0.0,0.0,14.0,11109824,0.9989896329590819,69.9368319,923.9673612,1053.9531706,110782360328,1226006541
main,P0,95000,3,94968.79999999999,0.0,0.0,14.0,11110324,0.9989737473002588,69.95686789999999,923.0613706,1054.9998760938167,110096156533,1047127669
main,P0X,190000,1,189961.80000000002,0.0,0.0,17.2,22229538,0.999633730579556,69.9984961,587.6541136,801.1817932,86774851462,171442147781
main,P0X,190000,2,190010.8,0.0,0.0,17.2,22230166,0.9996559179989929,69.9768935,584.2208864,794.1419603669804,87045061912,171548876253
main,P0X,190000,3,189970.4,0.0,0.0,17.2,22225656,0.9996571079836744,69.9915334,583.6486815999999,787.9734042,87168083580,171416758868
main,P0X,285000,1,285075.6,0.0,0.0,28.7,33356120,0.9991079298191756,70.00487530000001,655.7941436,1007.8430176000002,113771314839,202811295958
main,P0X,285000,2,284939.30000000005,0.0,0.0,29.8,33340686,0.9989894029175045,70.00219039999999,646.0189819999999,1051.6166686000001,114345732012,202904636695
main,P0X,285000,3,284987.2,0.0,0.0,27.0,33346990,0.9992443695817823,69.99377279999999,634.0026856,975.1796721999999,114924652080,202871803479
main,P0X,380000,1,369909.9,0.0,0.0,34.0,43282444,0.9366222942493728,76.8006096,1240.5872346,1552.917814329212,43108759005,191743448850
main,P0X,380000,2,368933.1,0.0,0.0,34.0,43165240,0.9320404334598857,78.3148758,1263.475418,1576.757431,43649992607,192802635153
main,P0X,380000,3,369527.39999999997,0.0,0.0,34.0,43232556,0.935215974739037,76.6112189,1241.2071228,1544.1894530000002,43076620588,191921039174
main,P0X,47500,1,47507.700000000004,0.0,0.0,10.3,5557882,0.9769822389176308,69.4158148,1145.9827426,1327.4157045150023,26139420980,55139969953
main,P0X,47500,2,47514.600000000006,0.0,0.0,10.3,5559920,0.9767406725276623,69.4275495,1147.9854586,1329.2312622,26090745316,54868925057
main,P0X,47500,3,47449.0,0.0,0.0,10.3,5552284,0.9769242711648035,69.41487950000001,1146.3642122,1327.828121186412,26163154765,54913340827
main,P0X,95000,1,94937.9,0.0,0.0,12.8,11106748,0.9996655186558658,69.9331093,788.2118226,927.5913238,46973398045,95305823736
main,P0X,95000,2,94942.4,0.0,0.0,12.7,11108268,0.9995718504450919,69.95989030000001,803.9474488000001,945.663452,46996609157,95072770013
main,P0X,95000,3,94953.90000000001,0.0,0.0,12.7,11111716,0.9996412795287425,69.9436353,788.2595064,930.4157733522449,47002547444,95233685504
k1,P0,110000,0,109989.7,0.0,0.0,15.2,0,,,,,126676775348,1087963116
k1,P0,130000,0,130045.20000000001,0.0,0.0,16.5,0,,,,,148493072147,1392650439
k1,P0,30000,0,29972.5,0.0,0.0,5.8,0,,,,,64691745447,3557459784
k1,P0,45000,0,44992.6,0.0,0.0,10.4,0,,,,,69292061228,1673512979
k1,P0,60000,0,59982.1,0.0,0.0,12.4,0,,,,,76327731521,930313298
k1,P0,75000,0,75028.0,0.0,0.0,12.9,0,,,,,90527528578,940365038
k1,P0,90000,0,89977.9,0.0,0.0,14.4,0,,,,,105618699374,984915578
k1,P0X,110000,0,109977.09999999999,0.0,0.0,13.0,0,,,,,53538405193,108116746618
k1,P0X,130000,0,129969.3,0.0,0.0,14.1,0,,,,,61621739783,123357066217
k1,P0X,30000,0,29985.099999999995,0.0,0.0,5.7,0,,,,,24730321793,52221915222
k1,P0X,45000,0,45017.7,0.0,0.0,9.8,0,,,,,25948106144,54958784978
