arm,target,achieved,ratio,misses,skipped,opq99,p99_us,rc8,rc9,rx7_delta,purity,gate_purity
P0,30000,29972.5,0.9991,0.0,0.0,5.8,947.9,64691745447,3557459784,2556210,99.983,99.956
P0,45000,44992.6,0.9998,0.0,0.0,10.4,1351.1,69292061228,1673512979,3819943,99.989,99.956
P0,60000,59982.1,0.9997,0.0,0.0,12.4,1241.8,76327731521,930313298,4893407,99.992,99.955
P0,75000,75028.0,1.0004,0.0,0.0,12.9,1104.6,90527528578,940365038,5999229,99.993,99.958
P0,90000,89977.9,0.9998,0.0,0.0,14.4,1044.6,105618699374,984915578,7074820,99.994,99.956
P0,110000,109989.7,0.9999,0.0,0.0,15.2,896.1,126676775348,1087963116,8458641,99.995,99.915
P0,130000,130045.2,1.0003,0.0,0.0,16.5,828.0,148493072147,1392650439,9809396,99.996,99.96
P0X,30000,29985.1,0.9995,0.0,0.0,5.7,891.2,24730321793,52221915222,2554247,99.984,99.953
P0X,45000,45017.7,1.0004,0.0,0.0,9.8,1232.0,25948106144,54958784978,3865976,99.989,99.949
P0X,60000,60012.3,1.0002,0.0,0.0,11.5,1104.5,30752417518,62506589212,5014323,99.991,99.947
P0X,75000,74977.9,0.9997,0.0,0.0,12.1,950.9,37931418335,76342770640,6216198,99.993,99.947
P0X,90000,90019.4,1.0002,0.0,0.0,12.6,852.4,44775200869,90501159839,7372748,99.994,99.94
P0X,110000,109977.1,0.9998,0.0,0.0,13.0,768.4,53538405193,108116746618,8803424,99.995,99.944
P0X,130000,129969.3,0.9998,0.0,0.0,14.1,703.3,61621739783,123357066217,10098179,99.996,99.904
