arm,target,achieved,ratio,p99_us,opq99,skip_pct,rc8,rc9,purity,max_sender_cpu
P0,160000,159936.7,0.9996,792.7,18.7,0.0,176465326348,1492367998,99.996,2.8
P0,190000,189912.1,0.9995,893.7,22.6,0.0,198136692662,1909771294,99.997,2.8
P0,220000,219981.7,0.9999,1290.4,32.3,0.0,203431593212,2138090725,99.997,2.8
P0,260000,260073.9,1.0003,1592.0,33.9,0.0,204337118377,2301048131,99.996,2.8
P0,300000,300045.9,1.0002,1549.4,34.0,0.0,202576399392,1947067790,99.995,2.8
P0X,160000,159990.2,0.9999,644.0,16.0,0.0,74318576397,148671913610,99.996,2.8
P0X,190000,190025.3,1.0001,605.9,17.2,0.0,86831584232,171125230740,99.997,2.8
P0X,220000,219930.6,0.9997,615.3,19.0,0.0,98176769922,189253743440,99.997,2.8
P0X,260000,259982.0,0.9999,647.8,22.9,0.0,109729760029,200937446143,99.997,2.8
P0X,300000,300029.4,1.0001,782.5,31.7,0.0,116493337741,203520076538,99.998,2.8
