arm rep wedged onset span aff_active wire proc
P2 1 1 17  931.0 156407981 19194
P2 2 1 19  844.0 156407893 18890
P2 3 1 16  872.0 156414041 19969
P2 4 0  202 649.0 156408225 29234
P2 5 0  201 896.0 156408105 37374
P2 6 1 84  1466.0 156407774 49637
P2 7 0  201 1142.0 156410750 44339
P2 8 0  201 783.0 156409059 32362
ali-P3 1 1 20  703.0 156409472 19267
ali-P3 2 1 21  793.0 156417823 19503
ali-P3 3 1 11  1776.0 156408461 25557
ali-P3 4 0  201 685.0 156407769 29713
ali-P3 5 1 190  2178.0 156409122 113177
ali-P3 6 0  201 296.0 156410294 195766
ali-P3 7 1 11  1019.0 156409404 20299
ali-P3 8 1 15  1073.0 156410602 19375
ali-P4 1 0  202 314.0 156408914 152959
ali-P4 2 0  201 687.0 156418301 27783
ali-P4 3 1 29  41.0 156408972 62346
ali-P4 4 1 31  537.0 156407686 18915
ali-P4 5 1 33  580.0 156410144 21926
ali-P4 6 1 46  584.0 156418243 256434
ali-P4 7 1 15  998.0 156409902 20666
ali-P4 8 1 93  1039.0 156410706 165381
mis-P3 1 1 11  1404.0 156409715 19963
mis-P3 2 1 54  513.0 156411341 20357
mis-P3 3 0  83 454.0 156410210 17520
mis-P3 4 0  202 597.0 156408887 23613
mis-P3 5 1 83  566.0 156409961 21068
mis-P3 6 1 32  666.0 156410840 24520
mis-P3 7 0  201 1000.0 156408554 40635
mis-P3 8 0  201 1079.0 156411579 44889
mis-P4 1 1 196  6.0 156416676 195
mis-P4 2 1 189  1246.0 156410816 41415
mis-P4 3 1 22  744.0 156408478 18983
mis-P4 4 1 24  671.0 156410278 18704
mis-P4 5 0  202 792.0 156412126 31953
mis-P4 6 1 13  1122.0 156410659 18580
mis-P4 7 0  190 10.0 156417964 287
mis-P4 8 0  202 94.0 156406385 5803
unpin 1 1 19  742.0 156417712 20703
unpin 2 1 13  1147.0 156410928 18864
unpin 3 1 12  1396.0 156410536 19671
unpin 4 1 14  935.0 156410066 17319
unpin 5 1 11  1410.0 156410198 21213
unpin 6 1 9  1466.0 156417661 21442
unpin 7 1 10  1394.0 156409546 17297
unpin 8 1 9  1647.0 156406925 17381
