tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok snd_full
wedge-m1 W1-P2-r790000-p64 P2 W1 790000 64 1 0 158000 1 0.049 48.5 99.5 100.5 100.5 - - - 1 1459 63178 536.2 251.2 0.01 0.00 0.00 0 0 1
wedge-m1 W1-P2-r790000-p64 P2 W1 790000 64 2 0 474000 0 0.017 0.5 0.5 0.5 0.5 - - - 1 1480 8 547.8 256.4 0.03 0.00 0.00 0 0 3
wedge-m1 W1-P2-r790000-p64 P2 W1 790000 64 3 0 316000 0 0.050 0.5 0.5 0.5 0.5 - - - 20 1224 3 529.8 246.2 0.02 0.00 0.00 0 0 2
wedge-m1 W1-P2-r790000-p64 P2 W1 790000 64 4 0 0 0 0.000 0.5 0.5 0.5 0.5 - - - 1 1188 4 529.3 246.0 0.04 0.00 0.00 0 0 0
wedge-m1 W1-P3-r790000-p64 P3 W1 790000 64 1 0 474000 0 0.015 0.5 0.5 0.5 0.5 - - - 1 1442 9 537.1 252.1 0.05 0.00 0.00 0 0 3
wedge-m1 W1-P3-r790000-p64 P3 W1 790000 64 2 0 316000 0 0.026 0.5 0.5 0.5 0.5 - - - 1 1465 7 540.7 253.1 0.00 0.00 0.00 0 0 2
wedge-m1 W1-P3-r790000-p64 P3 W1 790000 64 3 0 316000 0 0.026 0.5 0.5 0.5 0.5 - - - 1 1460 7 552.0 258.3 0.06 0.00 0.00 0 0 2
wedge-m1 W1-P3-r790000-p64 P3 W1 790000 64 4 0 158000 9798 0.618 12.5 24.5 27.5 33.5 - - - 2320 1159 6 524.7 242.2 0.48 0.00 0.00 0 0 1
wedge-m1 W1-P4-r790000-p64 P4 W1 790000 64 1 0 316000 0 0.029 0.5 0.5 0.5 0.5 - - - 1 1444 6 538.7 251.7 0.02 0.00 0.00 0 0 2
wedge-m1 W1-P4-r790000-p64 P4 W1 790000 64 2 0 474000 0 0.017 0.5 0.5 0.5 0.5 - - - 1 1471 6 544.0 254.6 0.01 0.00 0.00 0 0 3
wedge-m1 W1-P4-r790000-p64 P4 W1 790000 64 3 0 474000 282061 0.714 12.5 24.5 26.5 32.5 - - - 2076 1147 0 538.8 248.5 19.72 0.00 0.00 0 0 3
wedge-m1 W1-P4-r790000-p64 P4 W1 790000 64 4 0 0 4251 0.000 13.5 23.5 24.5 28.5 - - - 1 1114 15 519.4 239.8 0.08 0.00 0.00 0 0 0
