streams,rep,live,errs,stalls,stall_s,tokens,p50_itl_ms,p99_itl_ms,rate_tok_s,drops,slow_writes,slot_overruns,em_cpu_s,phase
25000,1,25000,0,0,0,86315662,0,232,1004059,0,1,652730,1269.0,aligned
25000,2,25000,0,0,0,163590484,0,232,899931,0,3,1149439,1084.8,aligned
25000,3,25000,0,0,0,240203151,0,232,1002262,0,6,1645901,1087.6,aligned
50000,1,50000,0,0,0,183945288,0,232,2032365,0,18,747777,2645.7,aligned
50000,2,50000,0,0,0,338737070,0,232,2020262,0,31,1265449,2112.0,aligned
50000,3,50000,0,0,0,494083964,0,232,2012859,0,37,1782291,2105.8,aligned
75000,1,75000,0,663,705,275023726,0,232,2989949,0,71,810962,4097.0,aligned
75000,2,75000,0,2252,2408,507376115,0,232,2998183,0,118,1356443,3325.7,aligned
75000,3,75000,0,2384,2542,739051598,0,232,4370133,0,160,1900948,3316.2,aligned
100000,1,100000,0,1336716,1488672,414214460,0,232,2504436,0,107,966133,6112.5,aligned
100000,2,100000,0,2574697,2879020,725826409,0,232,4148024,0,171,1539880,4379.0,aligned
100000,3,100000,0,3742442,4182826,1034443568,0,232,4025954,0,227,2113559,4376.6,aligned
master_complete
