streams,rep,live,errs,stalls,stall_s,p50_itl_ms,p99_itl_ms,rate_tok_s,drops,slow_writes,slot_overruns,em_cpu_s,phase
25000,1,25000,0,0,0,0,232,998306,0,6,617256,1284.5,per-engine
25000,2,25000,0,0,0,0,232,997737,0,6,1085183,1109.4,per-engine
25000,3,25000,0,0,0,0,232,994647,0,8,1553314,1106.5,per-engine
50000,1,50000,0,0,0,0,232,2130260,0,17,646066,2728.5,per-engine
50000,2,50000,0,0,0,0,232,2031709,0,18,1076585,2213.4,per-engine
50000,3,50000,0,0,0,0,232,1988946,0,25,1506559,2204.7,per-engine
75000,1,75000,0,1380,1526,0,232,3005415,0,24,656318,4375.8,per-engine
75000,2,75000,0,1387,1533,0,232,3000112,0,38,1041157,3352.7,per-engine
75000,3,75000,0,2380,2585,0,232,4339442,0,42,1425634,3344.7,per-engine
100000,1,100000,0,1345016,1503437,0,236,4019087,0,63,759308,6136.2,per-engine
100000,2,100000,0,2531749,2829529,0,236,2473521,0,96,1185110,4379.9,per-engine
100000,3,100000,0,3761333,4208325,0,236,4124136,0,113,1612348,4357.1,per-engine
master_complete
