streams,rep,live,errs,stalls,stall_s,p50_itl_ms,p99_itl_ms,rate_tok_s,drops,slow_writes,slot_overruns,em_cpu_s,phase
25000,1,25000,0,0,0,0,232,998966,0,2,589941,1277.7,random
25000,2,25000,0,0,0,0,232,1002118,0,2,1029370,1108.3,random
25000,3,25000,0,0,0,0,232,997089,0,2,1469469,1105.7,random
50000,1,50000,0,0,0,0,232,2034287,0,9,623446,2579.7,random
50000,2,50000,0,0,0,0,232,1981974,0,12,1066660,2226.2,random
50000,3,50000,0,0,0,0,232,1991647,0,12,1512139,2231.6,random
75000,1,75000,0,7,7,0,232,3012944,0,26,641430,4196.9,random
75000,2,75000,0,1469,1618,0,232,2993639,0,32,1033570,3361.2,random
75000,3,75000,0,2583,2788,0,232,4462061,0,43,1418229,3364.8,random
100000,1,100000,0,1220323,1373971,0,232,2038339,0,44,753942,5952.7,random
100000,2,100000,0,2430706,2731267,0,232,4288409,0,56,1200358,4450.3,random
100000,3,100000,0,3603510,4045092,0,232,3982796,0,67,1647729,4429.7,random
master_complete
