# fig1-3: W1 sweep + W2 low-rate latency (warm 10 meas 60)
# POLICY WORKLOAD RATE PLEN REP WARM MEAS
P0 W1 130000 64 1 10 60
P0 W1 130000 64 2 10 60
P0 W1 130000 64 3 10 60
P0 W1 390000 64 1 10 60
P0 W1 390000 64 2 10 60
P0 W1 390000 64 3 10 60
P0 W1 525000 64 1 10 60
P0 W1 525000 64 2 10 60
P0 W1 525000 64 3 10 60
P0 W1 790000 64 1 10 60
P0 W1 790000 64 2 10 60
P0 W1 790000 64 3 10 60
P0 W1 1050000 64 1 10 60
P0 W1 1050000 64 2 10 60
P0 W1 1050000 64 3 10 60
P0 W1 1300000 64 1 10 60
P0 W1 1300000 64 2 10 60
P0 W1 1300000 64 3 10 60
P0X W1 130000 64 1 10 60
P0X W1 130000 64 2 10 60
P0X W1 130000 64 3 10 60
P0X W1 390000 64 1 10 60
P0X W1 390000 64 2 10 60
P0X W1 390000 64 3 10 60
P0X W1 525000 64 1 10 60
P0X W1 525000 64 2 10 60
P0X W1 525000 64 3 10 60
P0X W1 790000 64 1 10 60
P0X W1 790000 64 2 10 60
P0X W1 790000 64 3 10 60
P0X W1 1050000 64 1 10 60
P0X W1 1050000 64 2 10 60
P0X W1 1050000 64 3 10 60
P0X W1 1300000 64 1 10 60
P0X W1 1300000 64 2 10 60
P0X W1 1300000 64 3 10 60
P2 W1 130000 64 1 10 60
P2 W1 130000 64 2 10 60
P2 W1 130000 64 3 10 60
P2 W1 390000 64 1 10 60
P2 W1 390000 64 2 10 60
P2 W1 390000 64 3 10 60
P2 W1 525000 64 1 10 60
P2 W1 525000 64 2 10 60
P2 W1 525000 64 3 10 60
P2 W1 790000 64 1 10 60
P2 W1 790000 64 2 10 60
P2 W1 790000 64 3 10 60
P2 W1 1050000 64 1 10 60
P2 W1 1050000 64 2 10 60
P2 W1 1050000 64 3 10 60
P2 W1 1300000 64 1 10 60
P2 W1 1300000 64 2 10 60
P2 W1 1300000 64 3 10 60
P3 W1 130000 64 1 10 60
P3 W1 130000 64 2 10 60
P3 W1 130000 64 3 10 60
P3 W1 390000 64 1 10 60
P3 W1 390000 64 2 10 60
P3 W1 390000 64 3 10 60
P3 W1 525000 64 1 10 60
P3 W1 525000 64 2 10 60
P3 W1 525000 64 3 10 60
P3 W1 790000 64 1 10 60
P3 W1 790000 64 2 10 60
P3 W1 790000 64 3 10 60
P3 W1 1050000 64 1 10 60
P3 W1 1050000 64 2 10 60
P3 W1 1050000 64 3 10 60
P3 W1 1300000 64 1 10 60
P3 W1 1300000 64 2 10 60
P3 W1 1300000 64 3 10 60
P4 W1 130000 64 1 10 60
P4 W1 130000 64 2 10 60
P4 W1 130000 64 3 10 60
P4 W1 390000 64 1 10 60
P4 W1 390000 64 2 10 60
P4 W1 390000 64 3 10 60
P4 W1 525000 64 1 10 60
P4 W1 525000 64 2 10 60
P4 W1 525000 64 3 10 60
P4 W1 790000 64 1 10 60
P4 W1 790000 64 2 10 60
P4 W1 790000 64 3 10 60
P4 W1 1050000 64 1 10 60
P4 W1 1050000 64 2 10 60
P4 W1 1050000 64 3 10 60
P4 W1 1300000 64 1 10 60
P4 W1 1300000 64 2 10 60
P4 W1 1300000 64 3 10 60
P0 W2 25000 64 1 10 60
P0 W2 25000 64 2 10 60
P0 W2 25000 64 3 10 60
P0X W2 25000 64 1 10 60
P0X W2 25000 64 2 10 60
P0X W2 25000 64 3 10 60
P2 W2 25000 64 1 10 60
P2 W2 25000 64 2 10 60
P2 W2 25000 64 3 10 60
P3 W2 25000 64 1 10 60
P3 W2 25000 64 2 10 60
P3 W2 25000 64 3 10 60
P4 W2 25000 64 1 10 60
P4 W2 25000 64 2 10 60
P4 W2 25000 64 3 10 60
