# fig4: knee cells 3 sizes x 3 placements x 6 loads x 3 reps
# POLICY WORKLOAD RATE PLEN REP WARM MEAS
P0 W1 130000 64 1 10 60
P0 W1 130000 64 2 10 60
P0 W1 130000 64 3 10 60
P0 W1 390000 64 1 10 60
P0 W1 390000 64 2 10 60
P0 W1 390000 64 3 10 60
P0 W1 525000 64 1 10 60
P0 W1 525000 64 2 10 60
P0 W1 525000 64 3 10 60
P0 W1 790000 64 1 10 60
P0 W1 790000 64 2 10 60
P0 W1 790000 64 3 10 60
P0 W1 1050000 64 1 10 60
P0 W1 1050000 64 2 10 60
P0 W1 1050000 64 3 10 60
P0 W1 1300000 64 1 10 60
P0 W1 1300000 64 2 10 60
P0 W1 1300000 64 3 10 60
P3 W1 130000 64 1 10 60
P3 W1 130000 64 2 10 60
P3 W1 130000 64 3 10 60
P3 W1 390000 64 1 10 60
P3 W1 390000 64 2 10 60
P3 W1 390000 64 3 10 60
P3 W1 525000 64 1 10 60
P3 W1 525000 64 2 10 60
P3 W1 525000 64 3 10 60
P3 W1 790000 64 1 10 60
P3 W1 790000 64 2 10 60
P3 W1 790000 64 3 10 60
P3 W1 1050000 64 1 10 60
P3 W1 1050000 64 2 10 60
P3 W1 1050000 64 3 10 60
P3 W1 1300000 64 1 10 60
P3 W1 1300000 64 2 10 60
P3 W1 1300000 64 3 10 60
P4 W1 130000 64 1 10 60
P4 W1 130000 64 2 10 60
P4 W1 130000 64 3 10 60
P4 W1 390000 64 1 10 60
P4 W1 390000 64 2 10 60
P4 W1 390000 64 3 10 60
P4 W1 525000 64 1 10 60
P4 W1 525000 64 2 10 60
P4 W1 525000 64 3 10 60
P4 W1 790000 64 1 10 60
P4 W1 790000 64 2 10 60
P4 W1 790000 64 3 10 60
P4 W1 1050000 64 1 10 60
P4 W1 1050000 64 2 10 60
P4 W1 1050000 64 3 10 60
P4 W1 1300000 64 1 10 60
P4 W1 1300000 64 2 10 60
P4 W1 1300000 64 3 10 60
P0 W1 130000 512 1 10 60
P0 W1 130000 512 2 10 60
P0 W1 130000 512 3 10 60
P0 W1 390000 512 1 10 60
P0 W1 390000 512 2 10 60
P0 W1 390000 512 3 10 60
P0 W1 525000 512 1 10 60
P0 W1 525000 512 2 10 60
P0 W1 525000 512 3 10 60
P0 W1 790000 512 1 10 60
P0 W1 790000 512 2 10 60
P0 W1 790000 512 3 10 60
P0 W1 1050000 512 1 10 60
P0 W1 1050000 512 2 10 60
P0 W1 1050000 512 3 10 60
P0 W1 1300000 512 1 10 60
P0 W1 1300000 512 2 10 60
P0 W1 1300000 512 3 10 60
P3 W1 130000 512 1 10 60
P3 W1 130000 512 2 10 60
P3 W1 130000 512 3 10 60
P3 W1 390000 512 1 10 60
P3 W1 390000 512 2 10 60
P3 W1 390000 512 3 10 60
P3 W1 525000 512 1 10 60
P3 W1 525000 512 2 10 60
P3 W1 525000 512 3 10 60
P3 W1 790000 512 1 10 60
P3 W1 790000 512 2 10 60
P3 W1 790000 512 3 10 60
P3 W1 1050000 512 1 10 60
P3 W1 1050000 512 2 10 60
P3 W1 1050000 512 3 10 60
P3 W1 1300000 512 1 10 60
P3 W1 1300000 512 2 10 60
P3 W1 1300000 512 3 10 60
P4 W1 130000 512 1 10 60
P4 W1 130000 512 2 10 60
P4 W1 130000 512 3 10 60
P4 W1 390000 512 1 10 60
P4 W1 390000 512 2 10 60
P4 W1 390000 512 3 10 60
P4 W1 525000 512 1 10 60
P4 W1 525000 512 2 10 60
P4 W1 525000 512 3 10 60
P4 W1 790000 512 1 10 60
P4 W1 790000 512 2 10 60
P4 W1 790000 512 3 10 60
P4 W1 1050000 512 1 10 60
P4 W1 1050000 512 2 10 60
P4 W1 1050000 512 3 10 60
P4 W1 1300000 512 1 10 60
P4 W1 1300000 512 2 10 60
P4 W1 1300000 512 3 10 60
P0 W1 130000 1400 1 10 60
P0 W1 130000 1400 2 10 60
P0 W1 130000 1400 3 10 60
P0 W1 390000 1400 1 10 60
P0 W1 390000 1400 2 10 60
P0 W1 390000 1400 3 10 60
P0 W1 525000 1400 1 10 60
P0 W1 525000 1400 2 10 60
P0 W1 525000 1400 3 10 60
P0 W1 790000 1400 1 10 60
P0 W1 790000 1400 2 10 60
P0 W1 790000 1400 3 10 60
P0 W1 1050000 1400 1 10 60
P0 W1 1050000 1400 2 10 60
P0 W1 1050000 1400 3 10 60
P0 W1 1300000 1400 1 10 60
P0 W1 1300000 1400 2 10 60
