# p1-arms: pre-6.5 kernel (ksoftirqd deferral) rows for Figs 1-3
# POLICY WORKLOAD RATE PLEN REP WARM MEAS
P1 W1 130000 64 1 10 60
P1 W1 130000 64 2 10 60
P1 W1 130000 64 3 10 60
P1 W1 390000 64 1 10 60
P1 W1 390000 64 2 10 60
P1 W1 390000 64 3 10 60
P1 W1 525000 64 1 10 60
P1 W1 525000 64 2 10 60
P1 W1 525000 64 3 10 60
P1 W1 790000 64 1 10 60
P1 W1 790000 64 2 10 60
P1 W1 790000 64 3 10 60
P1 W1 1050000 64 1 10 60
P1 W1 1050000 64 2 10 60
P1 W1 1050000 64 3 10 60
P1 W1 1300000 64 1 10 60
P1 W1 1300000 64 2 10 60
P1 W1 1300000 64 3 10 60
P1 W2 25000 64 1 10 60
P1 W2 25000 64 2 10 60
P1 W2 25000 64 3 10 60
