# task1: DR-004 task 1 re-run with the PMU busy basis (AN-007 fix)
# fig3 set (all policies, W1 390k) + 64B knee grid (P0,P0X)
# POLICY WORKLOAD RATE PLEN REP WARM MEAS
P0 W1 1050000 64 1 10 60
P0 W1 1050000 64 2 10 60
P0 W1 1050000 64 3 10 60
P0 W1 130000 64 1 10 60
P0 W1 130000 64 2 10 60
P0 W1 130000 64 3 10 60
P0 W1 1300000 64 1 10 60
P0 W1 1300000 64 2 10 60
P0 W1 1300000 64 3 10 60
P0 W1 390000 64 1 10 60
P0 W1 390000 64 2 10 60
P0 W1 390000 64 3 10 60
P0 W1 525000 64 1 10 60
P0 W1 525000 64 2 10 60
P0 W1 525000 64 3 10 60
P0 W1 790000 64 1 10 60
P0 W1 790000 64 2 10 60
P0 W1 790000 64 3 10 60
P0X W1 390000 64 1 10 60
P0X W1 390000 64 2 10 60
P0X W1 390000 64 3 10 60
P2 W1 390000 64 1 10 60
P2 W1 390000 64 2 10 60
P2 W1 390000 64 3 10 60
P3 W1 390000 64 1 10 60
P3 W1 390000 64 2 10 60
P3 W1 390000 64 3 10 60
P4 W1 390000 64 1 10 60
P4 W1 390000 64 2 10 60
P4 W1 390000 64 3 10 60
